date,code,close
2024-01-22,600048.SH,8.12
2024-01-22,600104.SH,12.75
2024-01-22,600309.SH,66.4
2024-01-22,600438.SH,24.4
2024-01-22,600519.SH,1561.6
2024-01-22,601318.SH,37.0
2024-01-23,000001.SZ,8.18
2024-01-23,000333.SZ,52.49
2024-01-23,000651.SZ,30.9
2024-01-23,000725.SZ,3.5
2024-01-23,000858.SZ,118.59
2024-01-23,002236.SZ,15.7
2024-01-23,002352.SZ,34.99
2024-01-23,002415.SZ,29.31
2024-01-23,002714.SZ,34.67
2024-01-23,300750.SZ,148.81
2024-01-23,600000.SH,6.27
2024-01-23,600030.SH,18.33
2024-01-23,600031.SH,12.6
2024-01-23,600036.SH,28.11
2024-01-23,600048.SH,8.16
2024-01-23,600104.SH,12.75
2024-01-23,600309.SH,66.87
2024-01-23,600438.SH,24.52
2024-01-23,600519.SH,1552.07
2024-01-23,601318.SH,36.74
2024-01-24,000001.SZ,8.28
2024-01-24,000333.SZ,53.66
2024-01-24,000651.SZ,31.12
2024-01-24,000725.SZ,3.5
2024-01-24,000858.SZ,118.39
2024-01-24,002236.SZ,15.66
2024-01-24,002352.SZ,34.78
2024-01-24,002415.SZ,29.38
2024-01-24,002714.SZ,34.14
2024-01-24,300750.SZ,145.24
2024-01-24,600000.SH,6.37
2024-01-24,600030.SH,18.98
2024-01-24,600031.SH,12.63
2024-01-24,600036.SH,27.71
2024-01-24,600048.SH,8.24
2024-01-24,600104.SH,12.86
2024-01-24,600309.SH,66.97
2024-01-24,600438.SH,24.26
2024-01-24,600519.SH,1546.83
2024-01-24,601318.SH,37.1
2024-01-25,000001.SZ,8.47
2024-01-25,000333.SZ,53.87
2024-01-25,000651.SZ,31.55
2024-01-25,000725.SZ,3.61
2024-01-25,000858.SZ,120.56
2024-01-25,002236.SZ,16.14
2024-01-25,002352.SZ,35.95
2024-01-25,002415.SZ,30.36
2024-01-25,002714.SZ,34.75
2024-01-25,300750.SZ,145.43
2024-01-25,600000.SH,6.46
2024-01-25,600030.SH,19.48
2024-01-25,600031.SH,12.93
2024-01-25,600036.SH,28.47
2024-01-25,600048.SH,8.58
2024-01-25,600104.SH,13.14
2024-01-25,600309.SH,68.23
2024-01-25,600438.SH,24.3
2024-01-25,600519.SH,1564.61
2024-01-25,601318.SH,37.98
2024-01-26,000001.SZ,8.62
2024-01-26,000333.SZ,53.98
2024-01-26,000651.SZ,31.35
2024-01-26,000725.SZ,3.68
2024-01-26,000858.SZ,122.39
2024-01-26,002236.SZ,16.57
2024-01-26,002352.SZ,35.7
2024-01-26,002415.SZ,30.66
2024-01-26,002714.SZ,34.07
2024-01-26,300750.SZ,145.72
2024-01-26,600000.SH,6.51
2024-01-26,600030.SH,19.65
2024-01-26,600031.SH,13.21
2024-01-26,600036.SH,28.92
2024-01-26,600048.SH,9.18
2024-01-26,600104.SH,13.25
2024-01-26,600309.SH,69.89
