,open,close,high,low,volume,money
2024-01-10,36.35,35.91,36.51,35.91,46481237.0,1677706638.0
2024-01-11,35.89,36.49,36.7,35.72,40189787.0,1457906650.77
2024-01-12,36.26,36.11,36.59,36.11,31914160.0,1158392103.0
2024-01-15,35.95,36.24,36.54,35.79,34444250.0,1244858223.33
2024-01-16,36.12,36.74,36.8,36.02,57399341.0,2095337501.0
2024-01-17,36.51,36.09,36.6,36.09,59112604.0,2148072060.0
2024-01-18,35.84,37.02,37.06,35.74,90743869.0,3289028901.0
2024-01-19,36.84,37.22,37.35,36.6,67382353.0,2493579882.19
2024-01-22,37.09,37.48,37.91,37.0,101229704.0,3800265430.86
2024-01-23,37.22,37.37,37.7,36.74,63377508.0,2363927977.0
2024-01-24,37.65,38.14,38.26,37.1,80169805.0,3023883703.2
2024-01-25,38.12,39.07,39.41,37.98,103913688.0,4022141715.25
2024-01-26,38.97,39.16,39.25,38.59,82779204.0,3225824129.0
2024-01-29,39.17,38.91,39.58,38.85,65385442.0,2560232020.12
2024-01-30,38.55,38.16,38.84,38.14,60103838.0,2308550032.86
2024-01-31,38.12,38.46,38.78,37.97,58668618.0,2253897731.11
2024-02-01,38.09,38.26,38.58,37.91,51707671.0,1980485848.94
2024-02-02,38.26,38.07,38.5,37.03,72757147.0,2771398286.31
2024-02-05,37.98,38.62,38.92,37.67,84909201.0,3247211014.41
2024-02-06,38.61,39.46,39.57,38.33,86772124.0,3381216758.7
2024-02-07,39.58,40.24,40.26,39.26,96495822.0,3833614844.28
2024-02-08,40.37,40.62,40.78,40.02,80969819.0,3274133648.91
2024-02-19,40.82,40.57,40.9,40.37,57312069.0,2324847504.07
2024-02-20,40.49,40.21,40.51,39.97,49435797.0,1989976125.05
2024-02-21,40.05,41.39,42.06,39.89,117175519.0,4827664819.26
2024-02-22,41.17,41.49,41.53,41.02,54501724.0,2252345679.89
2024-02-23,41.47,41.84,42.2,41.39,67853465.0,2843810762.75
2024-02-26,41.68,40.78,41.69,40.73,64902087.0,2667499279.49
2024-02-27,40.65,40.94,40.97,40.54,45186633.0,1840668677.61
2024-02-28,41.01,40.49,41.09,40.49,56430410.0,2298186002.07
2024-02-29,40.37,40.73,40.89,40.35,47933473.0,1948642485.44
2024-03-01,40.64,40.82,40.91,40.37,46952045.0,1908395624.01
2024-03-04,40.57,40.2,40.65,40.07,57408183.0,2311470911.3
2024-03-05,40.02,40.64,40.71,39.92,65664818.0,2650564784.46
2024-03-06,40.63,40.35,40.74,40.31,36102205.0,1461294746.35
2024-03-07,40.61,40.88,41.26,40.57,68353281.0,2796783750.67
2024-03-08,40.7,40.71,41.02,40.4,39233662.0,1595770014.26
2024-03-11,40.62,40.98,41.09,40.58,45919732.0,1877454174.22
2024-03-12,40.99,41.59,41.66,40.71,71538817.0,2952502139.23
2024-03-13,41.52,40.47,41.55,40.42,73857012.0,3008059272.09
2024-03-14,40.23,40.3,40.72,40.16,38011441.0,1535653343.04
2024-03-15,40.36,40.33,40.48,39.89,41991282.0,1687264408.94
2024-03-18,40.21,40.41,40.5,39.94,43843732.0,1764489757.48
2024-03-19,40.26,39.71,40.26,39.69,51190572.0,2045765039.38
2024-03-20,39.64,39.8,39.92,39.57,29872514.0,1187979289.12
2024-03-21,39.96,39.9,40.28,39.7,43708232.0,1745351698.68
2024-03-22,38.95,38.51,39.05,38.21,118546007.0,4569953332.77
2024-03-25,38.4,38.39,38.81,38.31,46091264.0,1775455395.81
2024-03-26,38.39,38.83,38.88,38.39,42445823.0,1640298639.54
2024-03-27,38.72,38.59,38.91,38.59,36463205.0,1411539594.33
2024-03-28,38.55,38.63,39.17,38.4,45537101.0,1764795886.29
2024-03-29,38.72,38.75,39.15,38.63,35297402.0,1370420386.58
2024-04-01,38.88,39.16,39.16,38.83,40768185.0,1592229351.69
2024-04-02,39.11,38.93,39.36,38.84,42127232.0,1644606101.72
2024-04-03,38.83,38.45,38.97,38.45,48833855.0,1886029049.26
2024-04-08,38.24,38.19,38.39,37.86,45912330.0,1752003234.9
2024-04-09,38.23,38.08,38.43,38.07,30958166.0,1183293256.89
2024-04-10,37.97,37.22,38.04,37.12,70310556.0,2638684982.98
2024-04-11,37.06,36.98,37.16,36.66,46682396.0,1724750105.08
2024-04-12,36.84,35.87,37.02,35.76,96790008.0,3503437973.08
2024-04-15,35.87,36.42,36.55,35.77,81271326.0,2953703722.44
2024-04-16,36.42,36.34,36.83,36.15,66013434.0,2408876665.25
2024-04-17,36.33,36.98,37.05,36.09,62625928.0,2294242964.74
2024-04-18,36.93,37.69,38.26,36.85,89116074.0,3365907681.42
2024-04-19,37.47,37.43,37.77,37.22,38801957.0,1454378302.44
2024-04-22,37.49,37.82,38.06,37.49,41206883.0,1559348108.99
2024-04-23,37.81,37.87,38.07,37.61,36090648.0,1367522866.18
2024-04-24,38.35,38.55,38.64,38.08,57926137.0,2226040004.99
2024-04-25,38.47,38.98,39.19,38.26,61319094.0,2379394080.78
2024-04-26,38.92,39.43,39.67,38.75,73126064.0,2866574032.83
2024-04-29,39.4,39.95,40.71,39.32,92209093.0,3696991239.7
2024-04-30,39.95,39.27,40.03,39.23,54579450.0,2157456541.33
2024-05-06,40.97,40.34,41.09,40.23,111936034.0,4554760126.57
2024-05-07,40.35,40.44,40.63,40.06,55628731.0,2249302992.58
2024-05-08,40.3,39.83,40.54,39.76,47116499.0,1888701756.04
2024-05-09,39.75,40.2,40.43,39.74,43557114.0,1749774912.08
2024-05-10,40.45,40.76,41.0,40.37,71377016.0,2906706220.37
2024-05-13,40.36,40.49,40.72,40.04,51976892.0,2098243663.83
2024-05-14,40.49,40.17,40.64,40.02,41763397.0,1679884655.94
2024-05-15,40.14,39.72,40.16,39.55,42038015.0,1673203919.17
2024-05-16,40.07,40.87,41.2,39.84,98457879.0,4003945956.18
2024-05-17,41.39,42.91,42.91,41.25,199550559.0,8380485072.81
2024-05-20,43.39,43.16,43.74,42.56,155826403.0,6725122982.13
2024-05-21,42.8,43.1,43.24,42.74,58045345.0,2495802387.92
2024-05-22,43.01,43.1,43.72,42.87,79136090.0,3432737425.71
2024-05-23,42.65,42.52,42.89,42.27,66979921.0,2847873001.03
2024-05-24,42.3,41.67,42.53,41.64,57012043.0,2397751034.49
2024-05-27,41.77,41.87,42.14,41.66,43472928.0,1820441915.17
2024-05-28,41.93,41.55,42.11,41.41,44439787.0,1853750116.11
2024-05-29,41.39,41.27,41.9,41.17,46283085.0,1921502308.37
2024-05-30,41.12,40.97,41.45,40.73,41494119.0,1702193305.05
2024-05-31,41.2,40.89,41.87,40.88,50819489.0,2100267340.71
2024-06-03,40.82,40.95,41.26,40.45,47030476.0,1922692312.43
2024-06-04,40.9,41.08,41.31,40.83,41938881.0,1723254938.55
2024-06-05,41.07,40.9,41.09,40.77,38115768.0,1559233049.65
2024-06-06,41.02,40.3,41.14,40.23,57152669.0,2313057245.12
2024-06-07,40.45,39.99,40.62,39.88,44384174.0,1781350640.17
2024-06-11,39.79,39.71,40.06,39.5,44486236.0,1767535002.98
2024-06-12,39.71,39.31,39.78,39.27,41956004.0,1653283609.36
2024-06-13,39.48,39.21,39.55,39.11,33749744.0,1323757553.96
2024-06-14,39.11,39.75,40.06,39.08,66948455.0,2651178961.93
2024-06-17,39.5,39.48,39.71,39.29,40522218.0,1600335662.58
2024-06-18,39.59,39.62,39.92,39.47,37228084.0,1476476517.64
2024-06-19,39.63,39.88,40.06,39.51,43251464.0,1721419835.21
2024-06-20,39.87,39.41,39.94,39.41,38422254.0,1525392591.04
2024-06-21,39.39,39.56,39.7,39.23,40556665.0,1600502330.31
2024-06-24,39.43,39.69,39.92,39.14,46968281.0,1856756643.57
2024-06-25,39.68,39.45,39.99,39.34,40322985.0,1598362559.09
2024-06-26,39.38,39.54,39.7,39.2,27918061.0,1100552480.63
2024-06-27,39.41,39.33,39.53,39.16,38757727.0,1525115714.91
2024-06-28,39.26,39.27,39.78,39.17,42061856.0,1661152477.79
2024-07-01,39.32,39.52,39.56,38.58,49945838.0,1949715776.52
2024-07-02,39.32,40.04,40.59,39.31,59916092.0,2404908550.73
2024-07-03,40.05,40.13,40.28,39.79,31150258.0,1248330594.75
2024-07-04,40.12,39.86,40.41,39.84,34215652.0,1369924728.97
2024-07-05,39.83,39.04,40.12,38.91,55477629.0,2180477666.29
2024-07-08,38.83,38.77,39.27,38.62,35763643.0,1388961718.88
2024-07-09,38.76,39.42,39.49,38.41,40172035.0,1565430221.59
2024-07-10,38.99,39.74,39.81,38.99,38051842.0,1507496306.7
2024-07-11,40.13,39.82,40.34,39.79,39557672.0,1582861429.22
2024-07-12,39.88,40.52,40.69,39.88,52210341.0,2110496360.66
2024-07-15,40.45,40.38,40.81,40.33,37375092.0,1513495679.15
2024-07-16,39.88,39.11,39.98,38.62,99005872.0,3870524306.94
2024-07-17,39.16,40.15,40.27,39.16,81987253.0,3268159910.88
2024-07-18,40.06,40.23,40.48,39.84,54098531.0,2175992699.2
2024-07-19,40.23,40.85,40.97,40.07,64331183.0,2610070264.81
2024-07-22,40.92,40.83,41.03,40.48,46403110.0,1890312952.56
2024-07-23,40.79,40.63,41.04,40.62,48428300.0,1978447934.56
2024-07-24,40.64,40.41,40.85,40.21,40666301.0,1644933089.81
2024-07-25,40.34,40.42,40.65,40.09,46393867.0,1874557285.11
2024-07-26,40.49,40.43,41.03,40.09,51875073.0,2099407783.57
2024-07-29,40.42,40.65,40.96,40.35,31066389.0,1264082989.54
2024-07-30,40.61,40.66,40.78,40.4,30179342.0,1224450780.96
2024-07-31,40.67,41.87,41.91,40.58,59040716.0,2450880159.96
2024-08-01,41.74,41.82,42.16,41.58,33047432.0,1383461986.97
2024-08-02,41.55,41.15,41.73,41.03,33680875.0,1392534223.86
2024-08-05,41.03,41.32,41.85,41.02,43757166.0,1813319978.54
2024-08-06,41.69,40.24,41.79,39.98,64474966.0,2614553598.48
2024-08-07,40.26,40.04,40.45,40.02,30469887.0,1225524961.3
2024-08-08,40.09,40.16,40.49,39.76,24031109.0,964682590.76
2024-08-09,40.33,39.95,40.57,39.95,26607955.0,1069136978.68
2024-08-12,39.88,39.96,40.07,39.66,15469587.0,617325021.79
2024-08-13,39.96,40.12,40.15,39.86,16923753.0,677002645.74
2024-08-14,40.15,39.84,40.28,39.84,20989199.0,838935305.86
2024-08-15,39.86,40.65,41.0,39.57,54293008.0,2202784576.02
2024-08-16,40.65,40.94,41.08,40.58,27399594.0,1119345318.47
2024-08-19,40.94,41.39,41.49,40.92,29263524.0,1209599525.52
2024-08-20,41.47,41.24,41.49,41.03,29858205.0,1230963340.51
2024-08-21,41.3,41.29,41.4,40.74,24004857.0,989256296.75
2024-08-22,41.28,41.04,41.57,40.97,30997971.0,1275507521.72
2024-08-23,41.36,42.65,42.76,41.25,101054489.0,4271882125.87
2024-08-26,42.76,42.65,42.94,42.36,48361121.0,2059591116.31
2024-08-27,42.58,42.45,42.85,42.27,34521869.0,1467947188.78
2024-08-28,42.54,42.49,42.68,42.24,35411017.0,1502990666.44
2024-08-29,42.48,41.93,42.86,41.77,48476979.0,2045077628.83
2024-08-30,42.02,43.32,43.81,42.02,111805166.0,4830979921.49
2024-09-02,43.17,42.75,43.46,42.75,52158984.0,2243546045.27
2024-09-03,42.91,42.51,42.92,42.38,37426041.0,1593821144.03
2024-09-04,42.52,41.95,42.94,41.76,41667429.0,1759519238.69
2024-09-05,41.94,42.72,42.81,41.92,47416422.0,2014905549.27
2024-09-06,42.72,42.55,43.27,42.46,39665995.0,1699389016.95
2024-09-09,42.38,41.99,42.55,41.86,40831485.0,1720343645.67
2024-09-10,42.06,41.97,42.36,41.61,29847333.0,1251507268.88
2024-09-11,41.95,41.83,42.23,41.69,27857044.0,1167516314.99
2024-09-12,42.04,41.91,42.08,41.15,41757835.0,1739432818.75
2024-09-13,41.87,42.2,42.7,41.81,35004632.0,1484769941.35
2024-09-18,42.31,42.99,43.08,42.24,43973569.0,1883001068.24
2024-09-19,43.01,43.32,43.39,42.62,47415328.0,2046412473.01
2024-09-20,43.27,43.44,43.58,43.03,54166637.0,2347055960.55
2024-09-23,43.42,43.38,43.68,43.15,30008391.0,1302373908.58
2024-09-24,43.88,45.75,45.75,43.75,122882555.0,5518430623.24
