,open,close,high,low,volume,money
2024-01-10,37.83,35.96,38.03,34.52,61341956.0,2200945357.6
2024-01-11,35.73,36.15,37.17,35.73,39326221.0,1442995015.55
2024-01-12,35.99,36.92,37.32,35.59,24448115.0,900464879.24
2024-01-15,36.74,36.26,37.33,36.18,19147195.0,698017609.22
2024-01-16,36.08,36.79,37.0,36.08,20829796.0,765154165.0
2024-01-17,36.67,35.97,37.36,35.95,19484615.0,708228641.89
2024-01-18,35.89,36.35,36.51,34.95,26091935.0,927214912.12
2024-01-19,36.33,35.96,36.61,35.74,16480631.0,593825959.21
2024-01-22,36.01,35.11,36.13,34.76,22725373.0,808007969.7
2024-01-23,35.01,35.08,35.35,34.67,17058377.0,596971343.3
2024-01-24,35.48,35.12,35.54,34.14,20243347.0,702929532.13
2024-01-25,35.28,35.28,35.39,34.75,18585866.0,653519331.49
2024-01-26,34.97,34.96,35.28,34.07,25930633.0,900326953.93
2024-01-29,34.96,35.22,35.84,34.86,22535980.0,798617171.17
2024-01-30,35.15,34.88,35.74,34.8,18442119.0,648318560.15
2024-01-31,34.42,34.52,34.91,33.86,21420371.0,739091624.49
2024-02-01,34.42,34.49,34.96,34.09,20796509.0,717214844.5
2024-02-02,34.37,34.6,35.45,33.79,30693344.0,1068436284.16
2024-02-05,34.27,34.96,35.25,33.53,31369496.0,1083524600.19
2024-02-06,34.76,36.24,36.33,34.56,29510458.0,1055019957.71
2024-02-07,36.23,36.7,36.72,35.64,27582486.0,1001099849.49
2024-02-08,36.5,37.02,37.22,36.35,22163380.0,814496335.39
2024-02-19,37.11,36.62,37.32,36.04,22720649.0,829516170.22
2024-02-20,36.49,37.5,37.6,36.15,18985258.0,704443036.03
2024-02-21,37.47,37.65,37.99,37.21,18140749.0,685364228.55
2024-02-22,37.53,37.66,37.81,37.34,10579903.0,397821537.68
2024-02-23,37.75,37.58,37.84,37.28,11841571.0,443613465.49
2024-02-26,37.36,37.33,37.7,37.04,14796165.0,553050840.99
2024-02-27,37.19,38.05,38.44,37.15,17101230.0,649955221.07
2024-02-28,38.17,37.45,38.17,37.42,17170093.0,647835620.57
2024-02-29,37.44,37.69,37.85,37.36,15405003.0,579465605.55
2024-03-01,37.7,37.37,37.7,36.81,24243228.0,900418053.91
2024-03-04,37.37,36.92,37.37,36.74,22031290.0,814624558.38
2024-03-05,36.72,38.19,38.29,36.72,32428027.0,1229855474.99
2024-03-06,38.04,38.36,38.44,37.81,15994575.0,609588626.54
2024-03-07,38.46,38.63,39.01,38.19,24391372.0,941393459.38
2024-03-08,38.33,38.29,38.61,38.0,13488810.0,515839492.73
2024-03-11,38.28,39.17,39.26,38.24,20488298.0,797740135.0
2024-03-12,39.13,39.26,39.31,38.58,18933662.0,737866797.25
2024-03-13,39.17,38.2,39.3,38.15,21257771.0,819320863.05
2024-03-14,38.17,37.64,38.4,37.61,14459669.0,547694202.55
2024-03-15,37.64,37.6,37.94,37.39,12916766.0,485484381.91
2024-03-18,37.69,37.76,37.88,36.87,23052767.0,863090732.98
2024-03-19,38.01,39.64,39.88,37.91,51439848.0,2014471176.94
2024-03-20,39.35,40.18,40.84,39.22,33845405.0,1357864977.56
2024-03-21,40.18,41.81,42.07,40.18,49894070.0,2074715552.75
2024-03-22,41.82,41.37,42.0,40.78,34987459.0,1444459463.54
2024-03-25,41.37,41.29,41.61,40.99,22718810.0,939790335.09
2024-03-26,41.34,41.27,42.26,41.07,27048622.0,1124849252.04
2024-03-27,41.19,41.39,42.08,40.93,30305488.0,1258894823.12
2024-03-28,41.27,41.17,41.78,40.93,25706287.0,1061315440.1
