Date,Open,High,Low,Close,Volume
2023-06-14,3872.72,3891.67,3862.06,3864.02,124955759
2023-06-15,3871.77,3925.5,3871.77,3925.5,128369938
2023-06-16,3932.21,3968.01,3928.54,3963.35,139760076
2023-06-19,3957.03,3957.03,3922.47,3930.91,134905848
2023-06-20,3926.09,3937.49,3918.47,3924.24,122520318
2023-06-21,3909.1,3920.13,3864.03,3864.03,118346575
2023-06-26,3833.44,3841.29,3801.05,3809.7,133990419
2023-06-27,3811.69,3851.9,3806.32,3845.43,116992681
2023-06-28,3836.61,3846.85,3808.16,3840.8,107021541
2023-06-29,3836.73,3840.71,3817.38,3821.84,98289274
2023-06-30,3816.33,3860.03,3813.55,3842.45,101268429
2023-07-03,3853.29,3897.33,3853.29,3892.88,133158051
2023-07-04,3888.03,3899.98,3878.4,3899.01,109494527
2023-07-05,3895.19,3899.52,3864.13,3868.81,97636384
2023-07-06,3857.03,3876.89,3836.46,3842.75,100121842
2023-07-07,3831.6,3844.84,3819.08,3825.7,100906920
2023-07-10,3841.56,3865.46,3831.92,3844.33,92033441
2023-07-11,3853.8,3870.65,3844.52,3869.49,86510716
2023-07-12,3864.6,3874.04,3838.56,3843.44,111522024
2023-07-13,3855.66,3901.1,3855.66,3898.42,120300232
2023-07-14,3904.6,3908.49,3893.79,3899.1,122364846
2023-07-17,3881.62,3881.62,3852.26,3867.17,98340144
2023-07-18,3871.04,3871.04,3844.51,3854.94,91438615
2023-07-19,3848.48,3860.01,3830.41,3850.87,79585700
2023-07-20,3857.77,3875.62,3818.71,3823.69,92042076
2023-07-21,3816.98,3849.51,3808.8,3821.91,79507563
2023-07-24,3803.35,3828.79,3798.8,3805.22,75483545
2023-07-25,3866.64,3915.81,3866.64,3915.12,163066320
2023-07-26,3908.17,3912.98,3893.4,3907.01,107881717
2023-07-27,3914.23,3935.36,3894.69,3902.35,110667109
2023-07-28,3889.79,4000.92,3886.55,3992.74,179735481
2023-07-31,4018.89,4064.36,4002.08,4014.63,199606830
2023-08-01,4009.18,4031.7,3983.03,3998.0,142286859
2023-08-02,3985.7,4008.33,3958.51,3969.9,125855690
2023-08-03,3962.13,4005.0,3962.13,4004.98,129006640
2023-08-04,4033.72,4058.24,4011.62,4020.58,178267189
2023-08-07,4002.97,4002.97,3977.02,3990.15,121310662
2023-08-08,3980.04,4002.29,3963.46,3979.73,109871699
2023-08-09,3967.36,3982.11,3961.84,3967.57,94640269
2023-08-10,3962.86,3976.46,3945.39,3975.72,97176849
2023-08-11,3977.98,3977.98,3884.25,3884.25,126082931
2023-08-14,3840.89,3859.47,3814.07,3855.91,115966336
2023-08-15,3858.37,3865.28,3811.68,3846.54,103097111
2023-08-16,3830.83,3852.42,3817.63,3818.33,94616946
2023-08-17,3801.2,3836.15,3782.5,3831.1,98415493
2023-08-18,3832.46,3844.2,3784.0,3784.0,95549638
2023-08-21,3773.23,3782.11,3729.56,3729.56,98708369
2023-08-22,3748.07,3770.06,3704.68,3758.23,120318327
2023-08-23,3751.77,3756.17,3695.03,3696.63,97081638
2023-08-24,3711.54,3748.86,3701.57,3723.43,119614521
2023-08-25,3703.51,3734.22,3695.84,3709.15,105182610
2023-08-28,3911.55,3911.55,3740.53,3752.62,197990379
2023-08-29,3743.05,3810.38,3742.08,3790.11,152486146
2023-08-30,3803.12,3813.7,3780.24,3788.51,129671661
2023-08-31,3786.93,3794.0,3762.0,3765.27,118961646
2023-09-01,3778.91,3808.53,3778.91,3791.49,105319045
2023-09-04,3812.99,3854.26,3804.59,3848.95,142385201
2023-09-05,3839.58,3839.58,3814.33,3820.32,104052333
2023-09-06,3808.1,3817.52,3790.89,3812.03,93442393
2023-09-07,3802.23,3802.23,3756.85,3758.47,95103903
2023-09-08,3747.65,3753.26,3724.99,3739.99,71638166
2023-09-11,3740.58,3788.32,3734.72,3767.54,105358016
2023-09-12,3764.33,3775.09,3755.42,3760.6,79385378
2023-09-13,3759.61,3768.82,3719.11,3736.65,81576901
2023-09-14,3736.94,3748.82,3717.31,3733.51,100386075
2023-09-15,3740.79,3749.02,3699.38,3708.78,109395689
2023-09-18,3698.93,3737.53,3691.11,3727.71,86727741
2023-09-19,3723.42,3724.07,3702.69,3720.5,83199038
2023-09-20,3715.96,3718.52,3705.13,3705.69,75448209
2023-09-21,3698.31,3708.46,3672.44,3672.44,83031005
2023-09-22,3672.64,3740.42,3664.77,3738.93,110231166
2023-09-25,3738.06,3738.06,3711.2,3714.6,92596479
2023-09-26,3711.71,3723.85,3692.62,3692.89,78044525
2023-09-27,3694.96,3731.14,3694.39,3700.5,91629210
2023-09-28,3711.21,3716.06,3685.3,3689.52,85221719
2023-10-09,3678.93,3694.17,3642.0,3684.73,102148058
2023-10-10,3696.25,3701.26,3655.59,3657.13,99163730
2023-10-11,3674.75,3689.53,3658.36,3667.55,102091587
2023-10-12,3697.93,3711.5,3682.84,3702.38,114363225
2023-10-13,3677.96,3678.19,3652.31,3663.41,98287987
2023-10-16,3664.04,3664.04,3615.77,3626.6,91853118
2023-10-17,3635.3,3645.57,3619.13,3639.4,90745188
2023-10-18,3631.07,3632.06,3608.98,3610.58,94545879
2023-10-19,3588.52,3588.52,3532.31,3533.54,111737520
2023-10-20,3518.35,3535.66,3501.73,3510.59,98518605
2023-10-23,3500.2,3505.35,3450.65,3474.24,96561652
2023-10-24,3481.76,3495.0,3453.1,3487.13,115547289
2023-10-25,3524.3,3531.83,3500.92,3504.46,128009617
2023-10-26,3484.78,3515.57,3478.05,3514.14,105143566
2023-10-27,3501.17,3576.59,3494.55,3562.39,120225108
2023-10-30,3554.11,3592.72,3554.02,3583.77,144010426
2023-10-31,3581.68,3581.68,3554.58,3572.51,112587267
2023-11-01,3605.76,3606.41,3564.64,3571.03,97645538
2023-11-02,3580.07,3597.17,3553.74,3554.19,90359643
2023-11-03,3558.53,3596.1,3558.53,3584.14,97542101
2023-11-06,3608.32,3635.79,3600.63,3632.61,152982463
2023-11-07,3623.78,3628.46,3606.3,3619.76,110288591
2023-11-08,3610.64,3627.05,3591.82,3611.07,110594230
2023-11-09,3603.11,3624.41,3601.37,3612.83,111872057
2023-11-10,3596.07,3599.45,3576.1,3586.49,102107034
2023-11-13,3593.91,3599.39,3562.77,3579.41,96707649
2023-11-14,3581.1,3600.15,3568.88,3582.06,100884158
2023-11-15,3616.88,3620.6,3596.92,3607.25,104929218
2023-11-16,3600.98,3605.29,3572.36,3572.36,87464780
2023-11-17,3561.31,3573.68,3547.03,3568.07,87319207
2023-11-20,3569.73,3586.97,3545.1,3576.32,91080445
2023-11-21,3587.88,3615.06,3575.68,3581.07,108594314
2023-11-22,3569.44,3574.38,3544.42,3544.42,84784381
2023-11-23,3541.44,3562.07,3529.94,3561.52,84800167
2023-11-24,3560.65,3560.65,3534.0,3538.01,85018403
2023-11-27,3534.44,3534.44,3492.86,3511.94,99102314
2023-11-28,3510.66,3521.05,3501.11,3518.52,89335789
2023-11-29,3518.88,3519.2,3482.24,3488.31,98841412
2023-11-30,3485.52,3505.13,3481.45,3496.2,101350820
2023-12-01,3494.22,3494.22,3452.17,3482.88,108530941
2023-12-04,3481.04,3488.13,3459.61,3460.14,97156826
2023-12-05,3450.09,3450.09,3393.81,3394.26,100472007
2023-12-06,3387.88,3420.28,3382.95,3399.6,105805519
2023-12-07,3394.31,3404.41,3369.77,3391.28,97713248
2023-12-08,3391.86,3409.38,3383.45,3399.46,129522054
2023-12-11,3378.05,3426.61,3346.89,3419.45,139626249
2023-12-12,3410.0,3427.55,3406.1,3426.8,105590013
2023-12-13,3418.64,3418.64,3369.61,3369.61,95285367
2023-12-14,3387.38,3399.14,3350.76,3351.96,83655135
2023-12-15,3365.94,3388.5,3339.52,3341.55,97787783
2023-12-18,3329.19,3352.35,3314.91,3329.37,90526826
2023-12-19,3325.66,3345.78,3313.19,3334.04,83808118
2023-12-20,3334.33,3338.54,3297.37,3297.5,92412868
2023-12-21,3285.6,3339.36,3283.99,3330.87,102546198
2023-12-22,3329.47,3359.06,3315.9,3337.23,105220133
2023-12-25,3330.33,3348.88,3330.33,3347.45,74542693
2023-12-26,3345.4,3345.42,3315.94,3324.79,74732935
2023-12-27,3326.93,3341.27,3309.67,3336.36,94403928
2023-12-28,3335.56,3423.4,3331.21,3414.54,148064851
2023-12-29,3411.11,3432.54,3409.58,3431.11,114928932
2024-01-02,3426.27,3426.27,3386.35,3386.35,116180726
2024-01-03,3379.75,3392.85,3362.66,3378.3,105613851
2024-01-04,3375.02,3375.02,3323.86,3347.05,106721013
2024-01-05,3341.31,3372.54,3313.55,3329.11,126400574
2024-01-08,3322.61,3333.52,3283.34,3286.06,117429485
2024-01-09,3286.71,3304.6,3273.84,3292.5,109330465
2024-01-10,3281.67,3312.92,3268.25,3277.13,94199366
2024-01-11,3275.31,3311.11,3266.79,3295.67,108789735
2024-01-12,3284.36,3310.47,3279.7,3284.17,96853555
2024-01-15,3270.1,3306.92,3261.27,3280.92,88851530
2024-01-16,3272.57,3300.88,3260.44,3300.88,113276665
2024-01-17,3291.14,3291.14,3229.08,3229.08,108769728
2024-01-18,3214.28,3279.25,3171.63,3274.73,174909168
2024-01-19,3261.24,3286.94,3251.81,3269.78,118501408
2024-01-22,3262.47,3281.42,3193.18,3218.9,148705628
2024-01-23,3208.43,3249.53,3188.13,3231.93,122012000
2024-01-24,3245.96,3281.49,3190.47,3277.11,154371954
2024-01-25,3274.34,3344.24,3269.79,3342.92,196833614
