,open,close,high,low,volume,money
2024-01-10,142.74,146.36,148.74,142.36,23894422.0,3500326619.89
2024-01-11,146.36,150.4,153.26,144.27,33766218.0,5037065544.25
2024-01-12,149.6,150.21,152.84,147.85,26210851.0,3943737150.63
2024-01-15,149.12,147.37,149.31,145.08,17780018.0,2618158007.72
2024-01-16,147.33,152.47,152.76,146.26,29306304.0,4421625828.65
2024-01-17,152.38,147.89,152.38,147.42,22401342.0,3343384131.76
2024-01-18,145.81,150.19,150.77,145.73,31683715.0,4688436698.41
2024-01-19,149.41,150.48,153.38,149.02,27376833.0,4136034233.34
2024-01-22,149.12,151.21,155.38,146.35,41679234.0,6323471152.62
2024-01-23,150.57,149.51,154.26,148.81,33255730.0,5033058276.4
2024-01-24,150.09,149.1,150.56,145.24,25602222.0,3776131708.06
2024-01-25,147.66,150.57,150.67,145.43,30346348.0,4503492567.88
2024-01-26,148.14,145.72,150.07,145.72,27980435.0,4118576147.81
2024-01-29,145.17,142.82,146.47,142.82,22407493.0,3235910042.92
2024-01-30,141.34,136.73,143.23,136.39,33689654.0,4680164654.32
2024-01-31,140.86,147.26,148.59,139.89,61272135.0,8943013792.76
2024-02-01,147.25,144.76,148.16,144.34,28791164.0,4197978843.17
2024-02-02,143.77,141.83,144.74,139.28,31608834.0,4494266567.68
2024-02-05,138.54,147.6,150.09,138.24,48518373.0,7035622773.05
2024-02-06,146.87,153.81,154.71,146.51,45032113.0,6828296924.06
2024-02-07,153.49,155.04,155.23,151.54,37683335.0,5800699416.45
2024-02-08,154.94,158.19,160.29,154.34,31809690.0,5016344779.04
2024-02-19,160.25,155.52,160.25,154.55,27889030.0,4355156562.95
2024-02-20,157.26,153.81,157.26,151.61,22847347.0,3506366283.11
2024-02-21,152.88,156.6,158.64,151.87,26540707.0,4135575623.96
2024-02-22,156.72,155.77,156.72,154.34,21572079.0,3349275886.97
2024-02-23,157.34,155.92,157.37,154.52,21635585.0,3368773226.46
2024-02-26,154.68,151.54,155.42,150.28,37126825.0,5638931754.29
2024-02-27,150.65,153.32,153.34,150.13,29893891.0,4531078101.31
2024-02-28,153.66,152.53,158.64,152.53,41270460.0,6423464926.27
2024-02-29,151.64,158.84,159.09,151.21,40319080.0,6315294345.27
2024-03-01,158.86,159.85,160.83,157.76,28927552.0,4610970231.35
2024-03-04,160.29,159.22,163.07,158.12,27596784.0,4424835389.74
2024-03-05,157.47,159.95,160.48,155.43,28359593.0,4478109343.91
2024-03-06,157.94,158.97,162.13,157.08,19268343.0,3067856204.79
2024-03-07,158.34,155.58,159.48,154.93,22796113.0,3568786297.0
2024-03-08,154.58,153.49,156.21,152.18,20811430.0,3194520067.02
2024-03-11,160.29,175.68,176.46,159.41,78579397.0,13248182793.02
2024-03-12,178.1,180.53,181.11,174.86,63992629.0,11428112945.34
2024-03-13,181.66,179.89,182.33,178.06,35818840.0,6444102061.72
2024-03-14,179.61,178.56,182.59,177.73,31433434.0,5642924971.26
2024-03-15,178.39,175.83,178.65,171.8,36526909.0,6371462215.2
2024-03-18,184.61,185.51,188.23,183.55,49725408.0,9229188790.08
2024-03-19,185.05,181.9,186.81,181.27,27750164.0,5099068938.67
2024-03-20,180.21,184.07,185.78,180.21,21649940.0,3987105281.59
2024-03-21,184.1,183.68,186.4,183.68,19308192.0,3571619013.59
2024-03-22,183.69,181.18,184.49,179.71,19665031.0,3563063417.12
2024-03-25,180.27,179.52,182.82,179.21,16895939.0,3046334226.28
2024-03-26,180.4,186.32,187.61,180.39,31136618.0,5746016495.95
2024-03-27,186.26,182.63,186.27,182.63,21252715.0,3910050276.4
2024-03-28,182.7,183.39,186.22,181.27,20625831.0,3792149244.82
2024-03-29,184.86,184.73,189.43,183.97,16948893.0,3154024728.73
2024-04-01,188.46,192.19,194.12,187.88,28322111.0,5438688735.17
2024-04-02,192.44,194.0,195.81,190.89,24744862.0,4793028386.5
2024-04-03,193.26,192.0,193.27,189.04,24179649.0,4635543375.83
2024-04-08,192.0,189.04,194.19,189.04,19514933.0,3729974586.66
2024-04-09,188.46,190.4,190.89,188.18,14998378.0,2845224466.88
2024-04-10,188.57,187.24,189.43,186.06,18489586.0,3459617610.91
2024-04-11,185.36,187.1,188.75,181.66,19862755.0,3681659227.96
2024-04-12,185.54,183.01,186.5,182.64,17114461.0,3153751598.81
2024-04-15,188.31,191.51,191.51,186.38,31446408.0,5978911501.32
2024-04-16,193.32,191.52,193.61,189.35,28435276.0,5450235800.73
2024-04-17,189.77,190.39,191.31,187.51,22254796.0,4211033978.06
2024-04-18,188.43,189.97,191.81,185.92,20114065.0,3808772286.51
2024-04-19,187.55,185.35,188.91,184.1,19035145.0,3533488436.05
2024-04-22,187.29,185.16,189.32,185.13,15542666.0,2903026005.69
2024-04-23,185.67,184.51,187.0,182.51,11440556.0,2113386949.51
2024-04-24,186.52,184.18,186.9,181.08,15599835.0,2865374635.48
2024-04-25,183.18,187.68,188.8,182.52,16901043.0,3150746112.0
2024-04-26,186.53,192.81,193.2,186.53,23149250.0,4413524312.71
2024-04-29,194.84,203.64,207.4,194.29,45152665.0,9119637969.04
2024-04-30,204.78,201.63,204.78,201.04,21535893.0,4377316692.36
2024-05-06,209.99,205.99,210.69,205.05,27229966.0,5634660009.91
2024-05-07,205.2,205.89,206.89,204.17,13243159.0,2722386147.53
2024-05-08,206.01,202.26,206.81,202.14,12492670.0,2544539625.56
2024-05-09,205.28,208.4,209.5,205.22,22026842.0,4575999960.06
2024-05-10,208.4,202.53,208.4,202.03,22910567.0,4675581900.35
2024-05-13,195.36,198.4,200.81,194.58,22303257.0,4425713327.7
2024-05-14,199.64,198.06,200.24,197.17,10746042.0,2131826963.91
2024-05-15,198.06,196.94,202.36,196.56,13136866.0,2607766831.74
2024-05-16,197.85,198.72,200.68,196.04,15452012.0,3065019508.61
2024-05-17,198.75,202.03,202.03,197.63,18584974.0,3727316446.1
2024-05-20,206.21,202.48,206.89,202.04,20012764.0,4083626152.69
2024-05-21,202.7,200.6,203.6,199.6,12355375.0,2480343309.64
2024-05-22,201.53,203.91,206.01,200.64,25357685.0,5153120079.07
2024-05-23,203.22,203.36,204.67,202.16,17739555.0,3602986569.39
2024-05-24,201.83,200.02,203.88,199.83,15585137.0,3136303496.79
2024-05-27,200.84,199.05,200.84,197.55,16440314.0,3261446783.13
2024-05-28,198.51,196.86,199.62,196.66,12750900.0,2517505166.39
2024-05-29,197.06,197.84,201.53,196.86,13402775.0,2663801635.26
2024-05-30,198.1,198.4,199.92,196.72,12845361.0,2548445865.24
2024-05-31,198.4,196.82,201.28,196.82,13874902.0,2760668470.77
2024-06-03,196.82,201.53,202.63,194.86,18807906.0,3757638839.5
2024-06-04,201.03,204.99,206.25,200.04,17799963.0,3639805938.31
2024-06-05,204.72,203.14,206.86,203.04,11833916.0,2420867501.82
2024-06-06,203.01,203.81,205.89,201.23,12472145.0,2544442658.23
2024-06-07,197.91,192.28,201.48,186.69,51934833.0,10008885040.64
2024-06-11,188.1,187.87,191.08,183.73,42274291.0,7876263876.2
2024-06-12,185.11,184.71,188.85,184.59,20407873.0,3788449182.24
2024-06-13,186.11,184.3,189.1,184.24,22223791.0,4134985666.22
2024-06-14,185.21,184.01,185.69,177.73,37363420.0,6764196086.13
2024-06-17,181.68,187.3,189.59,181.44,27058566.0,5044213365.16
2024-06-18,187.25,189.42,189.56,186.13,15728036.0,2959271843.32
2024-06-19,189.69,188.11,189.79,186.78,10805589.0,2030697600.04
2024-06-20,189.08,187.09,189.2,186.21,11617864.0,2172637229.05
2024-06-21,187.41,184.28,188.06,181.5,18556354.0,3416688219.76
2024-06-24,182.13,186.09,187.09,182.13,18122052.0,3363422625.72
2024-06-25,186.11,185.43,188.3,184.71,14483595.0,2696969882.24
